%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2024 247 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.10000 85.00 21.30 101.19 0.00 0.00 -999.00 388.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 219.00
2024 247 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.50000 90.00 20.30 101.19 0.00 0.00 -999.00 382.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 235.00
2024 247 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 88.00 20.20 101.22 0.00 0.00 -999.00 379.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 250.00
2024 247 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 85.00 20.80 101.21 0.00 0.00 -999.00 372.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 331.00
2024 248 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 88.00 20.20 101.19 0.00 0.00 -999.00 378.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 37.00
2024 248 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 93.00 18.90 101.19 0.00 0.00 -999.00 372.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 99.00
2024 248 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 96.00 18.20 101.19 0.00 0.00 -999.00 373.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 102.00
2024 248 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 95.00 18.20 101.19 0.00 0.00 -999.00 371.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 95.00
2024 248 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 96.00 18.10 101.19 0.00 0.00 -999.00 371.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 93.00
2024 248 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 95.00 18.40 101.17 0.00 0.00 -999.00 369.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 96.00
2024 248 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 96.00 18.40 101.17 0.00 2.00 -999.00 379.00 -999.00 -999.00 -999.00 -999.00 2.00 0.00 82.00
2024 248 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.40000 94.00 19.30 101.20 0.40 49.00 -999.00 381.00 -999.00 -999.00 -999.00 -999.00 30.00 151.00 18.00
